,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila.56,Ageneiosus-pardalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=54498,54498,Valid,Ageneiosus pardalis
fila.57,Ageneiosus-ucayalensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=52037,52037,Valid,Ageneiosus ucayalensis
fila.58,Ageneiosus-vittatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=52499,52499,Valid,Ageneiosus vittatus
fila.59,Agoniates-anchovia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=29745,29745,Valid,Agoniates anchovia
fila.60,Agonostomus-telfairii,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19850,19850,Valid,Agonostomus telfairii
fila.61,Aguarunichthys-torosus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=6055,6055,Valid,Aguarunichthys torosus
fila.62,Akihito-futuna,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=70066,70066,Valid,Akihito futuna
fila.63,Akihito-vanuatu,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=69853,69853,Valid,Akihito vanuatu
fila.64,Albula-glossodonta,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=25886,25886,Valid,Albula glossodonta
fila.65,Albula-vulpes,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=57807,57807,Valid,Albula vulpes
fila.66,Albulichthys-albuloides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3197,3197,Valid,Albulichthys albuloides
fila.67,Alburnoides-bipunctatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3362,3362,Valid,Alburnoides bipunctatus
fila.68,Alburnus-alburnus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=19758,19758,Valid,Alburnus alburnus
fila.69,Alburnus-carinatus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=42763,42763,Valid,Alburnus carinatus
fila.70,Alburnus-chalcoides,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=3458,3458,Valid,Alburnus chalcoides
fila.71,Alburnus-istanbulensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=42764,42764,Valid,Alburnus istanbulensis
fila.72,Alburnus-leobergi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=69840,69840,Valid,Alburnus leobergi
fila.73,Alburnus-mandrensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=64299,64299,Valid,Alburnus mandrensis
